School,G,W,STL,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,FG%,BLK,TOV,PF,,,,,,,
Sacramento State,31,15,239,-8.78,-6.78,2197,2155,1250,806,1800,175,527,0.332,410,592,0.693,308,1050,431,0.448,104,404,566,,,,,,,
Tulsa,32,18,176,4.65,3.86,2296,2271,1290,776,1732,222,652,0.34,522,751,0.695,239,1119,430,0.448,76,404,529,,,,,,,
Citadel,30,12,201,-7.94,0.03,2553,2584,1210,899,2011,370,1076,0.344,385,523,0.736,322,1107,462,0.447,110,386,528,,,,,,,
Arizona State NCAA,34,23,213,10.28,6.04,2638,2494,1380,899,2012,240,714,0.336,600,882,0.68,399,1351,459,0.447,109,466,675,,,,,,,
Rider,31,16,282,-4.96,-6.51,2381,2333,1245,847,1893,222,651,0.341,465,755,0.616,363,1144,450,0.447,101,415,591,,,,,,,
Oklahoma NCAA,34,20,203,15.3,12.21,2423,2318,1365,883,1975,226,654,0.346,431,618,0.697,305,1263,430,0.447,102,401,527,,,,,,,
Western Kentucky,34,20,235,3.14,0.96,2429,2355,1380,853,1910,199,608,0.327,524,724,0.724,338,1256,417,0.447,174,466,528,,,,,,,
Idaho State,30,11,154,-13.17,-4.81,2198,2369,1200,779,1742,274,752,0.364,366,498,0.735,275,975,383,0.447,88,360,497,,,,,,,
California Baptist,31,16,148,-3.89,-4.12,2403,2241,1260,831,1859,287,800,0.359,454,576,0.788,306,1171,345,0.447,85,379,623,,,,,,,
Houston NCAA,37,33,240,18.91,4.61,2787,2258,1480,982,2203,333,939,0.355,490,697,0.703,448,1502,548,0.446,161,410,705,,,,,,,
Arkansas,34,18,276,11.75,8.78,2559,2458,1370,893,2004,259,751,0.345,514,769,0.668,345,1152,543,0.446,172,450,693,,,,,,,
Tennessee-Martin,31,12,223,-10.94,-4.32,2356,2486,1250,854,1915,250,726,0.344,398,528,0.754,351,1062,441,0.446,88,418,490,,,,,,,
Connecticut,33,16,200,6.81,4.32,2436,2354,1325,874,1959,252,732,0.344,436,641,0.68,380,1167,422,0.446,145,427,643,,,,,,,
