School,G,W,TRB,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,FG%,AST,STL,BLK,TOV,PF,,,,,
Eastern Washington,34,16,1192,-6.77,-4.17,2460,2527,1380,876,2040,310,886,0.35,398,546,0.729,299,0.429,467,200,101,401,632,,,,,
Sam Houston State,33,21,1191,-3.17,-5.84,2476,2307,1345,889,2011,308,840,0.367,390,518,0.753,369,0.442,555,242,94,413,659,,,,,
St. Francis (NY),33,17,1191,-10.19,-8.45,2345,2320,1325,841,1989,270,806,0.335,393,580,0.678,346,0.423,387,194,136,413,635,,,,,
Gardner-Webb NCAA,35,23,1190,-2.61,-4.43,2718,2468,1430,955,1962,281,719,0.391,527,741,0.711,271,0.487,502,238,101,407,561,,,,,
Georgia Southern,33,21,1190,3.75,0.13,2726,2489,1330,1012,2028,204,632,0.323,498,720,0.692,320,0.499,403,255,132,451,590,,,,,
Miami (OH),32,15,1190,0.77,2.31,2267,2233,1285,777,1847,269,832,0.323,444,626,0.709,353,0.421,349,194,87,413,581,,,,,
Southern California,33,16,1188,8.23,4.96,2518,2410,1340,937,2039,281,735,0.382,363,563,0.645,324,0.46,536,202,117,392,590,,,,,
Savannah State,31,11,1188,-20.51,-9.04,2360,2694,1245,825,2080,351,1199,0.293,359,531,0.676,383,0.397,462,234,96,478,564,,,,,
Davidson,34,24,1185,6.38,1.96,2409,2229,1365,852,1893,312,882,0.354,393,525,0.749,264,0.45,499,175,82,378,539,,,,,
Kent State,33,22,1185,1.26,0.61,2481,2417,1330,878,2032,261,775,0.337,464,641,0.724,412,0.432,430,226,119,378,601,,,,,
Towson,32,10,1184,-8.44,-3.57,2170,2294,1310,810,1860,180,550,0.327,370,532,0.695,389,0.435,319,154,94,390,561,,,,,
St. Bonaventure,34,18,1183,3.34,0.25,2250,2145,1385,821,1914,208,635,0.328,400,539,0.742,333,0.429,417,199,164,421,553,,,,,
High Point,31,16,1183,-5.63,-4.39,2115,2105,1255,763,1719,180,583,0.309,409,605,0.676,363,0.444,404,170,91,406,502,,,,,
Saint Mary's (CA) NCAA,34,22,1180,12.58,4.4,2463,2185,1365,899,1905,253,670,0.378,412,555,0.742,329,0.472,341,201,87,355,572,,,,,
Northern Illinois,34,17,1179,2.58,1.11,2506,2413,1375,940,1995,229,642,0.357,397,543,0.731,304,0.471,374,188,75,404,653,,,,,
NJIT,35,22,1178,-3.63,-4.74,2472,2401,1410,849,1913,246,713,0.345,528,732,0.721,250,0.444,376,223,94,421,582,,,,,
Southern Mississippi,33,20,1178,2.58,-0.83,2392,2160,1330,899,1929,275,712,0.386,321,489,0.656,274,0.466,553,253,110,345,507,,,,,
Robert Morris,35,18,1178,-9.41,-7.62,2448,2403,1420,861,1991,280,789,0.355,446,638,0.699,373,0.432,487,257,92,507,683,,,,,
Weber State,33,18,1177,-4.37,-6.12,2617,2454,1330,920,1934,249,684,0.364,528,708,0.746,220,0.476,383,179,140,382,609,,,,,
Morehead State,33,13,1177,-7.73,-1.76,2431,2543,1335,855,1993,260,762,0.341,461,654,0.705,357,0.429,440,186,137,402,561,,,,,
Montana NCAA,35,26,1176,1.5,-5.05,2665,2397,1405,975,1983,287,763,0.376,428,621,0.689,293,0.492,510,229,106,416,655,,,,,
Louisiana-Monroe,35,19,1176,0.81,-1.96,2773,2637,1425,922,2029,353,891,0.396,576,737,0.782,317,0.454,498,206,78,398,545,,,,,
Liberty NCAA,36,29,1174,5.27,-3.88,2654,2209,1440,963,1977,322,873,0.369,406,524,0.775,270,0.487,532,223,96,395,543,,,,,
Syracuse NCAA,34,20,1174,13.73,10.09,2370,2246,1365,808,1907,274,824,0.333,480,701,0.685,363,0.424,408,278,162,423,588,,,,,
Penn State,32,14,1174,12.55,11.51,2229,2196,1295,791,1898,222,693,0.32,425,613,0.693,382,0.417,389,245,122,399,597,,,,,
Wake Forest,31,11,1174,1.21,8.47,2119,2344,1250,714,1812,197,640,0.308,494,681,0.725,399,0.394,329,150,77,417,555,,,,,
Furman,33,25,1171,7.46,-1.5,2562,2182,1340,930,1962,338,935,0.361,364,508,0.717,326,0.474,524,288,137,407,481,,,,,
California Baptist,31,16,1171,-3.89,-4.12,2403,2241,1260,831,1859,287,800,0.359,454,576,0.788,306,0.447,345,148,85,379,623,,,,,
Hofstra,35,27,1170,4.68,-4.53,2919,2553,1440,998,2055,308,800,0.385,615,767,0.802,305,0.486,492,228,122,342,526,,,,,
Radford,33,22,1170,1.28,-1.95,2440,2247,1330,893,1938,285,751,0.379,369,515,0.717,335,0.461,467,196,101,358,528,,,,,
North Alabama,32,10,1170,-11,-1.69,2145,2358,1285,744,1914,240,805,0.298,417,619,0.674,351,0.389,334,209,74,435,614,,,,,
Connecticut,33,16,1167,6.81,4.32,2436,2354,1325,874,1959,252,732,0.344,436,641,0.68,380,0.446,422,200,145,427,643,,,,,
Eastern Kentucky,31,13,1167,-7.4,-2.47,2562,2577,1265,902,2125,272,832,0.327,486,683,0.712,362,0.424,458,317,101,447,661,,,,,
New Orleans,33,19,1166,-8.88,-6.47,2384,2325,1345,862,1941,189,566,0.334,471,681,0.692,393,0.444,497,285,134,517,631,,,,,
George Mason,33,18,1166,0.84,0.08,2314,2289,1330,825,1855,210,637,0.33,454,634,0.716,323,0.445,399,204,97,428,563,,,,,
Mississippi Valley State,32,6,1165,-22.47,-6.99,2058,2498,1285,730,1923,172,554,0.31,426,647,0.658,378,0.38,361,176,70,415,570,,,,,
